sku,location,opening_stock,daily_demand,safety_stock,transfer_cost_per_unit,transfer_lead_days
SKU-DEMO-0001,TX,0,10,0,5,1
SKU-DEMO-0001,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0002,TX,0,10,0,5,1
SKU-DEMO-0002,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0003,TX,0,10,0,5,1
SKU-DEMO-0003,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0004,TX,0,10,0,5,1
SKU-DEMO-0004,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0005,TX,0,10,0,5,1
SKU-DEMO-0005,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0006,TX,0,10,0,5,1
SKU-DEMO-0006,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0007,TX,0,10,0,5,1
SKU-DEMO-0007,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0008,TX,0,10,0,5,1
SKU-DEMO-0008,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0009,TX,0,10,0,5,1
SKU-DEMO-0009,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0010,TX,0,10,0,5,1
SKU-DEMO-0010,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0011,TX,0,10,0,5,1
SKU-DEMO-0011,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0012,TX,0,10,0,5,1
SKU-DEMO-0012,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0013,TX,0,10,0,5,1
SKU-DEMO-0013,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0014,TX,0,10,0,5,1
SKU-DEMO-0014,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0015,TX,0,10,0,5,1
SKU-DEMO-0015,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0016,TX,0,10,0,5,1
SKU-DEMO-0016,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0017,TX,0,10,0,5,1
SKU-DEMO-0017,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0018,TX,0,10,0,5,1
SKU-DEMO-0018,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0019,TX,0,10,0,5,1
SKU-DEMO-0019,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0020,TX,0,10,0,5,1
SKU-DEMO-0020,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0021,TX,0,10,0,5,1
SKU-DEMO-0021,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0022,TX,0,10,0,5,1
SKU-DEMO-0022,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0023,TX,0,10,0,5,1
SKU-DEMO-0023,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0024,TX,0,10,0,5,1
SKU-DEMO-0024,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0025,TX,0,10,0,5,1
SKU-DEMO-0025,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0026,TX,0,10,0,5,1
SKU-DEMO-0026,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0027,TX,0,10,0,5,1
SKU-DEMO-0027,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0028,TX,0,10,0,5,1
SKU-DEMO-0028,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0029,TX,0,10,0,5,1
SKU-DEMO-0029,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0030,TX,0,10,0,5,1
SKU-DEMO-0030,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0031,TX,0,10,0,5,1
SKU-DEMO-0031,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0032,TX,0,10,0,5,1
SKU-DEMO-0032,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0033,TX,0,10,0,5,1
SKU-DEMO-0033,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0034,TX,0,10,0,5,1
SKU-DEMO-0034,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0035,TX,0,10,0,5,1
SKU-DEMO-0035,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0036,TX,0,10,0,5,1
SKU-DEMO-0036,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0037,TX,0,10,0,5,1
SKU-DEMO-0037,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0038,TX,0,10,0,5,1
SKU-DEMO-0038,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0039,TX,0,10,0,5,1
SKU-DEMO-0039,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0040,TX,0,10,0,5,1
SKU-DEMO-0040,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0041,TX,0,10,0,5,1
SKU-DEMO-0041,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0042,TX,0,10,0,5,1
SKU-DEMO-0042,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0043,TX,0,10,0,5,1
SKU-DEMO-0043,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0044,TX,0,10,0,5,1
SKU-DEMO-0044,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0045,TX,0,10,0,5,1
SKU-DEMO-0045,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0046,TX,0,10,0,5,1
SKU-DEMO-0046,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0047,TX,0,10,0,5,1
SKU-DEMO-0047,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0048,TX,0,10,0,5,1
SKU-DEMO-0048,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0049,TX,0,10,0,5,1
SKU-DEMO-0049,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0050,TX,0,10,0,5,1
SKU-DEMO-0050,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0051,TX,0,10,0,5,1
SKU-DEMO-0051,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0052,TX,0,10,0,5,1
SKU-DEMO-0052,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0053,TX,0,10,0,5,1
SKU-DEMO-0053,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0054,TX,0,10,0,5,1
SKU-DEMO-0054,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0055,TX,0,10,0,5,1
SKU-DEMO-0055,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0056,TX,0,10,0,5,1
SKU-DEMO-0056,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0057,TX,0,10,0,5,1
SKU-DEMO-0057,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0058,TX,0,10,0,5,1
SKU-DEMO-0058,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0059,TX,0,10,0,5,1
SKU-DEMO-0059,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0060,TX,0,10,0,5,1
SKU-DEMO-0060,DEMO_RESERVE,100,1,10,5,1
SKU-DEMO-0061,TX,0,10,0,5,1
SKU-DEMO-0061,DEMO_RESERVE,100,1,10,5,1
