shipment_id,sku,destination,quantity,promised_day,milestone_delay_days,expedite_days_saved,expedite_cost
SHIP-DEMO-0001,SKU-DEMO-0001,TX,60,0,4,3,300
SHIP-DEMO-0002,SKU-DEMO-0002,TX,60,0,4,3,300
SHIP-DEMO-0003,SKU-DEMO-0003,TX,60,0,4,3,300
SHIP-DEMO-0004,SKU-DEMO-0004,TX,60,0,4,3,300
SHIP-DEMO-0005,SKU-DEMO-0005,TX,60,0,4,3,300
SHIP-DEMO-0006,SKU-DEMO-0006,TX,60,0,4,3,300
SHIP-DEMO-0007,SKU-DEMO-0007,TX,60,0,4,3,300
SHIP-DEMO-0008,SKU-DEMO-0008,TX,60,0,4,3,300
SHIP-DEMO-0009,SKU-DEMO-0009,TX,60,0,4,3,300
SHIP-DEMO-0010,SKU-DEMO-0010,TX,60,0,4,3,300
SHIP-DEMO-0011,SKU-DEMO-0011,TX,60,0,4,3,300
SHIP-DEMO-0012,SKU-DEMO-0012,TX,60,0,4,3,300
SHIP-DEMO-0013,SKU-DEMO-0013,TX,60,0,4,3,300
SHIP-DEMO-0014,SKU-DEMO-0014,TX,60,0,4,3,300
SHIP-DEMO-0015,SKU-DEMO-0015,TX,60,0,4,3,300
SHIP-DEMO-0016,SKU-DEMO-0016,TX,60,0,4,3,300
SHIP-DEMO-0017,SKU-DEMO-0017,TX,60,0,4,3,300
SHIP-DEMO-0018,SKU-DEMO-0018,TX,60,0,4,3,300
SHIP-DEMO-0019,SKU-DEMO-0019,TX,60,0,4,3,300
SHIP-DEMO-0020,SKU-DEMO-0020,TX,60,0,4,3,300
SHIP-DEMO-0021,SKU-DEMO-0021,TX,60,0,4,3,300
SHIP-DEMO-0022,SKU-DEMO-0022,TX,60,0,4,3,300
SHIP-DEMO-0023,SKU-DEMO-0023,TX,60,0,4,3,300
SHIP-DEMO-0024,SKU-DEMO-0024,TX,60,0,4,3,300
SHIP-DEMO-0025,SKU-DEMO-0025,TX,60,0,4,3,300
SHIP-DEMO-0026,SKU-DEMO-0026,TX,60,0,4,3,300
SHIP-DEMO-0027,SKU-DEMO-0027,TX,60,0,4,3,300
SHIP-DEMO-0028,SKU-DEMO-0028,TX,60,0,4,3,300
SHIP-DEMO-0029,SKU-DEMO-0029,TX,60,0,4,3,300
SHIP-DEMO-0030,SKU-DEMO-0030,TX,60,0,4,3,300
SHIP-DEMO-0031,SKU-DEMO-0031,TX,60,0,4,3,300
SHIP-DEMO-0032,SKU-DEMO-0032,TX,60,0,4,3,300
SHIP-DEMO-0033,SKU-DEMO-0033,TX,60,0,4,3,300
SHIP-DEMO-0034,SKU-DEMO-0034,TX,60,0,4,3,300
SHIP-DEMO-0035,SKU-DEMO-0035,TX,60,0,4,3,300
SHIP-DEMO-0036,SKU-DEMO-0036,TX,60,0,4,3,300
SHIP-DEMO-0037,SKU-DEMO-0037,TX,60,0,4,3,300
SHIP-DEMO-0038,SKU-DEMO-0038,TX,60,0,4,3,300
SHIP-DEMO-0039,SKU-DEMO-0039,TX,60,0,4,3,300
SHIP-DEMO-0040,SKU-DEMO-0040,TX,60,0,4,3,300
SHIP-DEMO-0041,SKU-DEMO-0041,TX,60,0,4,3,300
SHIP-DEMO-0042,SKU-DEMO-0042,TX,60,0,4,3,300
SHIP-DEMO-0043,SKU-DEMO-0043,TX,60,0,4,3,300
SHIP-DEMO-0044,SKU-DEMO-0044,TX,60,0,4,3,300
SHIP-DEMO-0045,SKU-DEMO-0045,TX,60,0,4,3,300
SHIP-DEMO-0046,SKU-DEMO-0046,TX,60,0,4,3,300
SHIP-DEMO-0047,SKU-DEMO-0047,TX,60,0,4,3,300
SHIP-DEMO-0048,SKU-DEMO-0048,TX,60,0,4,3,300
SHIP-DEMO-0049,SKU-DEMO-0049,TX,60,0,4,3,300
SHIP-DEMO-0050,SKU-DEMO-0050,TX,60,0,4,3,300
SHIP-DEMO-0051,SKU-DEMO-0051,TX,60,0,4,3,300
SHIP-DEMO-0052,SKU-DEMO-0052,TX,60,0,4,3,300
SHIP-DEMO-0053,SKU-DEMO-0053,TX,60,0,4,3,300
SHIP-DEMO-0054,SKU-DEMO-0054,TX,60,0,4,3,300
SHIP-DEMO-0055,SKU-DEMO-0055,TX,60,0,4,3,300
SHIP-DEMO-0056,SKU-DEMO-0056,TX,60,0,4,3,300
SHIP-DEMO-0057,SKU-DEMO-0057,TX,60,0,4,3,300
SHIP-DEMO-0058,SKU-DEMO-0058,TX,60,0,4,3,300
SHIP-DEMO-0059,SKU-DEMO-0059,TX,60,0,4,3,300
SHIP-DEMO-0060,SKU-DEMO-0060,TX,60,0,4,3,300
SHIP-DEMO-0061,SKU-DEMO-0061,TX,60,0,4,3,300
SHIP-DEMO-0062,SKU-DEMO-0062,TX,60,0,4,3,300
SHIP-DEMO-0063,SKU-DEMO-0063,TX,60,0,4,3,300
SHIP-DEMO-0064,SKU-DEMO-0064,TX,60,0,4,3,300
SHIP-DEMO-0065,SKU-DEMO-0065,TX,60,0,4,3,300
SHIP-DEMO-0066,SKU-DEMO-0066,TX,60,0,4,3,300
SHIP-DEMO-0067,SKU-DEMO-0067,TX,60,0,4,3,300
SHIP-DEMO-0068,SKU-DEMO-0068,TX,60,0,4,3,300
SHIP-DEMO-0069,SKU-DEMO-0069,TX,60,0,4,3,300
SHIP-DEMO-0070,SKU-DEMO-0070,TX,60,0,4,3,300
SHIP-DEMO-0071,SKU-DEMO-0071,TX,60,0,4,3,300
SHIP-DEMO-0072,SKU-DEMO-0072,TX,60,0,4,3,300
SHIP-DEMO-0073,SKU-DEMO-0073,TX,60,0,4,3,300
SHIP-DEMO-0074,SKU-DEMO-0074,TX,60,0,4,3,300
SHIP-DEMO-0075,SKU-DEMO-0075,TX,60,0,4,3,300
SHIP-DEMO-0076,SKU-DEMO-0076,TX,60,0,4,3,300
SHIP-DEMO-0077,SKU-DEMO-0077,TX,60,0,4,3,300
SHIP-DEMO-0078,SKU-DEMO-0078,TX,60,0,4,3,300
SHIP-DEMO-0079,SKU-DEMO-0079,TX,60,0,4,3,300
SHIP-DEMO-0080,SKU-DEMO-0080,TX,60,0,4,3,300
SHIP-DEMO-0081,SKU-DEMO-0081,TX,60,0,4,3,300
SHIP-DEMO-0082,SKU-DEMO-0082,TX,60,0,4,3,300
SHIP-DEMO-0083,SKU-DEMO-0083,TX,60,0,4,3,300
SHIP-DEMO-0084,SKU-DEMO-0084,TX,60,0,4,3,300
SHIP-DEMO-0085,SKU-DEMO-0085,TX,60,0,4,3,300
SHIP-DEMO-0086,SKU-DEMO-0086,TX,60,0,4,3,300
SHIP-DEMO-0087,SKU-DEMO-0087,TX,60,0,4,3,300
SHIP-DEMO-0088,SKU-DEMO-0088,TX,60,0,4,3,300
SHIP-DEMO-0089,SKU-DEMO-0089,TX,60,0,4,3,300
SHIP-DEMO-0090,SKU-DEMO-0090,TX,60,0,4,3,300
SHIP-DEMO-0091,SKU-DEMO-0091,TX,60,0,4,3,300
SHIP-DEMO-0092,SKU-DEMO-0092,TX,60,0,4,3,300
