sku,vendor_id,vendor_name,product_name,brand,category,gender,description,price,gtin,image_url,colour,size,material,submitted_at,vendor_approved,monthly_sales,gross_margin_pct
SKU-DEMO-0001,VENDOR-DEMO-0001,Fictional Supplier 0001,Demo Cotton Shirt 1,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000015,https://example.com/demo/SKU-DEMO-0001.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0002,VENDOR-DEMO-0002,Fictional Supplier 0002,Demo Cotton Shirt 2,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000022,https://example.com/demo/SKU-DEMO-0002.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0003,VENDOR-DEMO-0003,Fictional Supplier 0003,Demo Cotton Shirt 3,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000039,https://example.com/demo/SKU-DEMO-0003.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0004,VENDOR-DEMO-0004,Fictional Supplier 0004,Demo Cotton Shirt 4,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000046,https://example.com/demo/SKU-DEMO-0004.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0005,VENDOR-DEMO-0005,Fictional Supplier 0005,Demo Cotton Shirt 5,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000053,https://example.com/demo/SKU-DEMO-0005.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0006,VENDOR-DEMO-0006,Fictional Supplier 0006,Demo Cotton Shirt 6,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000060,https://example.com/demo/SKU-DEMO-0006.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0007,VENDOR-DEMO-0007,Fictional Supplier 0007,Demo Cotton Shirt 7,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000077,https://example.com/demo/SKU-DEMO-0007.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0008,VENDOR-DEMO-0008,Fictional Supplier 0008,Demo Cotton Shirt 8,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000084,https://example.com/demo/SKU-DEMO-0008.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0009,VENDOR-DEMO-0009,Fictional Supplier 0009,Demo Cotton Shirt 9,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000091,https://example.com/demo/SKU-DEMO-0009.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0010,VENDOR-DEMO-0010,Fictional Supplier 0010,Demo Cotton Shirt 10,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000107,https://example.com/demo/SKU-DEMO-0010.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0011,VENDOR-DEMO-0011,Fictional Supplier 0011,Demo Cotton Shirt 11,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000114,https://example.com/demo/SKU-DEMO-0011.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0012,VENDOR-DEMO-0012,Fictional Supplier 0012,Demo Cotton Shirt 12,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000121,https://example.com/demo/SKU-DEMO-0012.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0013,VENDOR-DEMO-0013,Fictional Supplier 0013,Demo Cotton Shirt 13,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000138,https://example.com/demo/SKU-DEMO-0013.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0014,VENDOR-DEMO-0014,Fictional Supplier 0014,Demo Cotton Shirt 14,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000145,https://example.com/demo/SKU-DEMO-0014.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0015,VENDOR-DEMO-0015,Fictional Supplier 0015,Demo Cotton Shirt 15,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000152,https://example.com/demo/SKU-DEMO-0015.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0016,VENDOR-DEMO-0016,Fictional Supplier 0016,Demo Cotton Shirt 16,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000169,https://example.com/demo/SKU-DEMO-0016.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0017,VENDOR-DEMO-0017,Fictional Supplier 0017,Demo Cotton Shirt 17,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000176,https://example.com/demo/SKU-DEMO-0017.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0018,VENDOR-DEMO-0018,Fictional Supplier 0018,Demo Cotton Shirt 18,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000183,https://example.com/demo/SKU-DEMO-0018.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0019,VENDOR-DEMO-0019,Fictional Supplier 0019,Demo Cotton Shirt 19,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000190,https://example.com/demo/SKU-DEMO-0019.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0020,VENDOR-DEMO-0020,Fictional Supplier 0020,Demo Cotton Shirt 20,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000206,https://example.com/demo/SKU-DEMO-0020.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0021,VENDOR-DEMO-0021,Fictional Supplier 0021,Demo Cotton Shirt 21,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000213,https://example.com/demo/SKU-DEMO-0021.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0022,VENDOR-DEMO-0022,Fictional Supplier 0022,Demo Cotton Shirt 22,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000220,https://example.com/demo/SKU-DEMO-0022.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0023,VENDOR-DEMO-0023,Fictional Supplier 0023,Demo Cotton Shirt 23,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000237,https://example.com/demo/SKU-DEMO-0023.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0024,VENDOR-DEMO-0024,Fictional Supplier 0024,Demo Cotton Shirt 24,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000244,https://example.com/demo/SKU-DEMO-0024.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0025,VENDOR-DEMO-0025,Fictional Supplier 0025,Demo Cotton Shirt 25,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000251,https://example.com/demo/SKU-DEMO-0025.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0026,VENDOR-DEMO-0026,Fictional Supplier 0026,Demo Cotton Shirt 26,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000268,https://example.com/demo/SKU-DEMO-0026.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0027,VENDOR-DEMO-0027,Fictional Supplier 0027,Demo Cotton Shirt 27,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000275,https://example.com/demo/SKU-DEMO-0027.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0028,VENDOR-DEMO-0028,Fictional Supplier 0028,Demo Cotton Shirt 28,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000282,https://example.com/demo/SKU-DEMO-0028.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
SKU-DEMO-0029,VENDOR-DEMO-0029,Fictional Supplier 0029,Demo Cotton Shirt 29,Fictional Demo Brand,Apparel,Men,Synthetic cotton shirt with regular fit and reinforced seams for demonstration only.,1500,2000000000299,https://example.com/demo/SKU-DEMO-0029.jpg,Black,M,Cotton,2026-09-20T15:20:08.334157+00:00,True,90000,52
