Vendor ID,Vendor Name,Division,Class,Sub-Class,Vendor Style,Description,Color,Case-pack,Cost,Reg Retail,Original Retail,Total Quantity,Location,Ship Dates,Cancel Dates,PO_ID,Brand Name,SKU,currency,gender
VENDOR-DEMO-0001,Fictional Supplier 0001,Menswear,Apparel,Shirts,DEMO-STYLE-0001,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0001,Fictional Demo Brand,SKU-DEMO-0001,INR,Men
VENDOR-DEMO-0002,Fictional Supplier 0002,Menswear,Apparel,Shirts,DEMO-STYLE-0002,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0002,Fictional Demo Brand,SKU-DEMO-0002,INR,Men
VENDOR-DEMO-0003,Fictional Supplier 0003,Menswear,Apparel,Shirts,DEMO-STYLE-0003,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0003,Fictional Demo Brand,SKU-DEMO-0003,INR,Men
VENDOR-DEMO-0004,Fictional Supplier 0004,Menswear,Apparel,Shirts,DEMO-STYLE-0004,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0004,Fictional Demo Brand,SKU-DEMO-0004,INR,Men
VENDOR-DEMO-0005,Fictional Supplier 0005,Menswear,Apparel,Shirts,DEMO-STYLE-0005,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0005,Fictional Demo Brand,SKU-DEMO-0005,INR,Men
VENDOR-DEMO-0006,Fictional Supplier 0006,Menswear,Apparel,Shirts,DEMO-STYLE-0006,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0006,Fictional Demo Brand,SKU-DEMO-0006,INR,Men
VENDOR-DEMO-0007,Fictional Supplier 0007,Menswear,Apparel,Shirts,DEMO-STYLE-0007,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0007,Fictional Demo Brand,SKU-DEMO-0007,INR,Men
VENDOR-DEMO-0008,Fictional Supplier 0008,Menswear,Apparel,Shirts,DEMO-STYLE-0008,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0008,Fictional Demo Brand,SKU-DEMO-0008,INR,Men
VENDOR-DEMO-0009,Fictional Supplier 0009,Menswear,Apparel,Shirts,DEMO-STYLE-0009,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0009,Fictional Demo Brand,SKU-DEMO-0009,INR,Men
VENDOR-DEMO-0010,Fictional Supplier 0010,Menswear,Apparel,Shirts,DEMO-STYLE-0010,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0010,Fictional Demo Brand,SKU-DEMO-0010,INR,Men
VENDOR-DEMO-0011,Fictional Supplier 0011,Menswear,Apparel,Shirts,DEMO-STYLE-0011,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0011,Fictional Demo Brand,SKU-DEMO-0011,INR,Men
VENDOR-DEMO-0012,Fictional Supplier 0012,Menswear,Apparel,Shirts,DEMO-STYLE-0012,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0012,Fictional Demo Brand,SKU-DEMO-0012,INR,Men
VENDOR-DEMO-0013,Fictional Supplier 0013,Menswear,Apparel,Shirts,DEMO-STYLE-0013,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0013,Fictional Demo Brand,SKU-DEMO-0013,INR,Men
VENDOR-DEMO-0014,Fictional Supplier 0014,Menswear,Apparel,Shirts,DEMO-STYLE-0014,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0014,Fictional Demo Brand,SKU-DEMO-0014,INR,Men
VENDOR-DEMO-0015,Fictional Supplier 0015,Menswear,Apparel,Shirts,DEMO-STYLE-0015,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0015,Fictional Demo Brand,SKU-DEMO-0015,INR,Men
VENDOR-DEMO-0016,Fictional Supplier 0016,Menswear,Apparel,Shirts,DEMO-STYLE-0016,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0016,Fictional Demo Brand,SKU-DEMO-0016,INR,Men
VENDOR-DEMO-0017,Fictional Supplier 0017,Menswear,Apparel,Shirts,DEMO-STYLE-0017,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0017,Fictional Demo Brand,SKU-DEMO-0017,INR,Men
VENDOR-DEMO-0018,Fictional Supplier 0018,Menswear,Apparel,Shirts,DEMO-STYLE-0018,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0018,Fictional Demo Brand,SKU-DEMO-0018,INR,Men
VENDOR-DEMO-0019,Fictional Supplier 0019,Menswear,Apparel,Shirts,DEMO-STYLE-0019,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0019,Fictional Demo Brand,SKU-DEMO-0019,INR,Men
VENDOR-DEMO-0020,Fictional Supplier 0020,Menswear,Apparel,Shirts,DEMO-STYLE-0020,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0020,Fictional Demo Brand,SKU-DEMO-0020,INR,Men
VENDOR-DEMO-0021,Fictional Supplier 0021,Menswear,Apparel,Shirts,DEMO-STYLE-0021,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0021,Fictional Demo Brand,SKU-DEMO-0021,INR,Men
VENDOR-DEMO-0022,Fictional Supplier 0022,Menswear,Apparel,Shirts,DEMO-STYLE-0022,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0022,Fictional Demo Brand,SKU-DEMO-0022,INR,Men
VENDOR-DEMO-0023,Fictional Supplier 0023,Menswear,Apparel,Shirts,DEMO-STYLE-0023,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0023,Fictional Demo Brand,SKU-DEMO-0023,INR,Men
VENDOR-DEMO-0024,Fictional Supplier 0024,Menswear,Apparel,Shirts,DEMO-STYLE-0024,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0024,Fictional Demo Brand,SKU-DEMO-0024,INR,Men
VENDOR-DEMO-0025,Fictional Supplier 0025,Menswear,Apparel,Shirts,DEMO-STYLE-0025,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0025,Fictional Demo Brand,SKU-DEMO-0025,INR,Men
VENDOR-DEMO-0026,Fictional Supplier 0026,Menswear,Apparel,Shirts,DEMO-STYLE-0026,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0026,Fictional Demo Brand,SKU-DEMO-0026,INR,Men
VENDOR-DEMO-0027,Fictional Supplier 0027,Menswear,Apparel,Shirts,DEMO-STYLE-0027,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0027,Fictional Demo Brand,SKU-DEMO-0027,INR,Men
VENDOR-DEMO-0028,Fictional Supplier 0028,Menswear,Apparel,Shirts,DEMO-STYLE-0028,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0028,Fictional Demo Brand,SKU-DEMO-0028,INR,Men
VENDOR-DEMO-0029,Fictional Supplier 0029,Menswear,Apparel,Shirts,DEMO-STYLE-0029,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0029,Fictional Demo Brand,SKU-DEMO-0029,INR,Men
VENDOR-DEMO-0030,Fictional Supplier 0030,Menswear,Apparel,Shirts,DEMO-STYLE-0030,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0030,Fictional Demo Brand,SKU-DEMO-0030,INR,Men
VENDOR-DEMO-0031,Fictional Supplier 0031,Menswear,Apparel,Shirts,DEMO-STYLE-0031,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0031,Fictional Demo Brand,SKU-DEMO-0031,INR,Men
VENDOR-DEMO-0032,Fictional Supplier 0032,Menswear,Apparel,Shirts,DEMO-STYLE-0032,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0032,Fictional Demo Brand,SKU-DEMO-0032,INR,Men
VENDOR-DEMO-0033,Fictional Supplier 0033,Menswear,Apparel,Shirts,DEMO-STYLE-0033,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0033,Fictional Demo Brand,SKU-DEMO-0033,INR,Men
VENDOR-DEMO-0034,Fictional Supplier 0034,Menswear,Apparel,Shirts,DEMO-STYLE-0034,Synthetic demonstration cotton shirt,Black,6,650,1500,1500,60,TX,2026-10-20,2026-11-10,PO-DEMO-0034,Fictional Demo Brand,SKU-DEMO-0034,INR,Men
